City_ID,City,Country,Weather Description,Max Temp,Lat,Lng,Hotel Name
0,Rikitea,PF,light rain,78.82,-23.1203,-134.9692,
7,Busselton,AU,overcast clouds,80.28,-33.65,115.3333,
9,Cayenne,GF,scattered clouds,79.0,4.9333,-52.3333,
14,Bambous Virieux,MU,broken clouds,84.99,-20.3428,57.7575,
17,Kavaratti,IN,scattered clouds,83.68,10.5669,72.642,
19,Alofi,NU,clear sky,80.6,-19.0595,-169.9187,
27,New Norfolk,AU,overcast clouds,77.0,-42.7826,147.0587,
29,Atuona,PF,broken clouds,80.74,-9.8,-139.0333,
31,Honiara,SB,overcast clouds,82.71,-9.4333,159.95,
32,Hobart,AU,overcast clouds,77.0,-42.8794,147.3294,
33,Kontagora,NG,broken clouds,76.1,10.3999,5.4695,
34,Jawhar,SO,overcast clouds,86.65,2.7809,45.5005,
38,Shima,CN,few clouds,84.2,24.4478,117.8111,
39,Goalpara,IN,clear sky,88.93,26.1667,90.6167,
44,Vaini,TO,broken clouds,80.6,-21.2,-175.2,
52,Gola Bazar,IN,clear sky,86.0,26.3431,83.3553,
53,Avarua,CK,few clouds,78.8,-21.2078,-159.775,
54,Ugoofaaru,MV,broken clouds,84.61,5.6667,73.0,
64,Baillif,GP,few clouds,75.2,16.0202,-61.7463,
66,Mahebourg,MU,broken clouds,82.4,-20.4081,57.7,
70,Lakes Entrance,AU,broken clouds,77.0,-37.8811,147.981,
72,Manuk Mangkaw,PH,overcast clouds,83.91,4.8,119.85,
76,Thinadhoo,MV,moderate rain,83.77,0.5333,72.9333,
78,Samarai,PG,broken clouds,85.05,-10.6167,150.6667,
87,Atambua,ID,overcast clouds,76.51,-9.1061,124.8925,
88,Esperance,AU,scattered clouds,80.6,-33.8667,121.9,
96,Codrington,AU,overcast clouds,75.78,-38.2667,141.9667,
100,Ndele,CF,scattered clouds,80.33,8.4109,20.6473,
107,Isangel,VU,overcast clouds,80.6,-19.55,169.2667,
109,Oistins,BB,scattered clouds,77.0,13.0667,-59.5333,
110,Mount Gambier,AU,broken clouds,86.0,-37.8333,140.7667,
121,Pasni,PK,clear sky,88.75,25.2631,63.471000000000004,
135,Howard Springs,AU,overcast clouds,84.2,-12.497,131.047,
136,Marsh Harbour,BS,broken clouds,75.25,26.5412,-77.0636,
137,Afareaitu,PF,scattered clouds,82.4,-17.55,-149.7833,
143,Monrovia,LR,mist,75.2,6.3005,-10.7969,
146,Mersing,MY,scattered clouds,89.6,2.4312,103.8405,
148,Srandakan,ID,broken clouds,84.07,-7.9386,110.2506,
149,Yangjiang,CN,few clouds,88.0,21.85,111.9667,
156,Marzuq,YE,scattered clouds,80.46,14.4,46.4667,
157,Acapulco,MX,scattered clouds,79.39,16.8634,-99.8901,
159,Beloha,MG,clear sky,76.98,-25.1667,45.05,
160,Saint-Philippe,RE,light rain,78.8,-21.3585,55.7679,
165,Nageshwari,BD,clear sky,86.94,25.9377,89.7148,
172,Progreso,MX,few clouds,79.0,21.2833,-89.6667,
175,Wad Madani,SD,scattered clouds,83.48,14.4012,33.5199,
178,Cabedelo,BR,few clouds,75.2,-6.9811,-34.8339,
182,Qui Nhon,VN,broken clouds,84.06,13.7667,109.2333,
183,Axim,GH,few clouds,78.39,4.8699,-2.2405,
186,Semporna,MY,scattered clouds,87.8,4.4818,118.6112,
192,Hobyo,SO,broken clouds,83.37,5.3505,48.5268,
195,Kloulklubed,PW,overcast clouds,78.8,7.0419,134.2556,
198,Mana,GF,broken clouds,75.45,5.6592,-53.7767,
201,Hambantota,LK,few clouds,89.6,6.1241,81.1185,
202,Pemba,MZ,scattered clouds,78.8,-12.974,40.5178,
207,Namatanai,PG,scattered clouds,84.27,-3.6667,152.4333,
209,Belmonte,BR,few clouds,78.8,-15.8631,-38.8828,
214,Itarema,BR,overcast clouds,76.59,-2.9248,-39.9167,
221,Dingle,PH,overcast clouds,86.63,10.9995,122.6711,
222,Victoria,HK,scattered clouds,84.2,22.2855,114.1577,
229,Port Blair,IN,light rain,77.05,11.6667,92.75,
233,Souillac,MU,broken clouds,82.4,-20.5167,57.5167,
234,Touros,BR,scattered clouds,75.2,-5.1989,-35.4608,
235,Manaure,CO,broken clouds,78.22,11.7751,-72.4445,
242,Sinnamary,GF,overcast clouds,76.03,5.3833,-52.95,
243,Yulara,AU,clear sky,86.0,-25.2406,130.9889,
244,Taoudenni,ML,few clouds,76.84,22.6783,-3.9836,
250,Biak,ID,overcast clouds,84.72,-0.9131,122.8766,
254,Hervey Bay,AU,few clouds,75.0,-25.2986,152.8535,
259,Pochutla,MX,scattered clouds,78.01,15.7432,-96.4661,
262,Bundaberg,AU,scattered clouds,78.8,-24.85,152.35,
265,Hithadhoo,MV,broken clouds,84.07,-0.6,73.0833,
268,Dong Hoi,VN,few clouds,85.01,17.4833,106.6,
271,Sumbe,AO,scattered clouds,78.8,-11.2061,13.8437,
274,Tual,ID,moderate rain,80.69,-5.6667,132.75,
282,Butaritari,KI,scattered clouds,82.89,3.0707,172.7902,
289,Balaipungut,ID,overcast clouds,87.8,1.05,101.2833,
291,Vangaindrano,MG,light rain,76.17,-23.35,47.6,
300,Cartagena,CO,scattered clouds,78.8,10.3997,-75.5144,
302,Kintampo,GH,broken clouds,75.49,8.0563,-1.7306,
315,Bathsheba,BB,scattered clouds,77.0,13.2167,-59.5167,
319,Veraval,IN,clear sky,86.36,20.9,70.3667,
323,Cockburn Town,TC,clear sky,76.98,21.4612,-71.1419,
328,Bima,ID,light rain,83.66,-8.4667,118.7167,
333,Ahvaz,IR,scattered clouds,84.2,31.3203,48.6693,
337,Langsa,ID,overcast clouds,88.52,4.4683,97.9683,
338,Goiana,BR,few clouds,78.8,-7.5606,-35.0025,
342,Kieta,PG,light rain,83.08,-6.2167,155.6333,
344,Bengkulu,ID,moderate rain,77.05,-3.8004,102.2655,
348,Pandan,PH,overcast clouds,84.18,14.0453,124.1694,
352,Marawi,PH,moderate rain,76.05,7.9986,124.2928,
357,Port Keats,AU,light rain,81.01,-14.25,129.55,
362,Tura,IN,scattered clouds,87.82,25.5198,90.2201,
371,Poya,NC,moderate rain,75.94,-21.35,165.15,
375,Kavieng,PG,scattered clouds,83.75,-2.5744,150.7967,
377,Bandarbeyla,SO,scattered clouds,82.15,9.4942,50.8122,
380,Emerald,AU,scattered clouds,87.8,-23.5333,148.1667,
383,Sindou,BF,scattered clouds,77.0,10.6667,-5.1667,
396,Toamasina,MG,light rain,78.8,-18.1667,49.3833,
400,Bairiki,KI,light rain,84.2,1.3292,172.9752,
401,Merauke,ID,overcast clouds,82.83,-8.4667,140.3333,
403,Grand Gaube,MU,clear sky,84.99,-20.0064,57.6608,
407,Tabou,CI,broken clouds,78.01,4.423,-7.3528,
416,Lorengau,PG,light rain,83.55,-2.0226,147.2712,
418,Caruray,PH,broken clouds,84.2,10.3094,119.0128,
422,Spanish Town,JM,few clouds,78.8,17.9911,-76.9574,
425,Kanniyakumari,IN,broken clouds,88.3,8.0833,77.5667,
426,Sao Jose Da Coroa Grande,BR,overcast clouds,77.41,-8.8978,-35.1478,
433,Miandrivazo,MG,clear sky,83.17,-19.5167,45.4667,
437,Atar,MR,overcast clouds,76.8,20.5169,-13.0499,
438,Gizo,SB,broken clouds,84.38,-8.103,156.8419,
448,Antalaha,MG,light rain,79.97,-14.9003,50.2788,
453,Nileshwar,IN,clear sky,86.31,12.25,75.1,
459,Iralaya,HN,clear sky,78.67,15.0,-83.2333,
463,Harper,LR,broken clouds,78.13,4.375,-7.7169,
468,Bireun,ID,overcast clouds,84.0,5.202999999999999,96.7009,
474,Saint-Pierre,RE,light rain,78.8,-21.3393,55.4781,
475,Kokopo,PG,light rain,82.26,-4.352,152.2633,
480,Kuah,MY,light rain,89.6,6.3265,99.8432,
484,Bam,IR,clear sky,76.24,29.105999999999998,58.357,
487,Portobelo,PA,broken clouds,79.0,9.55,-79.65,
489,Kupang,ID,moderate rain,82.4,-10.1667,123.5833,
491,Bondo,CD,broken clouds,75.74,3.8146,23.6866,
492,Salvador,SV,scattered clouds,80.6,13.8333,-88.9167,
493,Ouadda,CF,scattered clouds,79.38,8.0777,22.4007,
495,Weligama,LK,broken clouds,87.89,5.9667,80.4167,
496,Karaton,ID,light rain,84.2,-6.3424,106.1045,
502,Balapulang,ID,scattered clouds,85.87,-7.05,109.0833,
507,Wanning,CN,few clouds,84.85,18.8003,110.3967,
510,Vanimo,PG,light rain,82.58,-2.6741,141.3028,
516,Itoman,JP,broken clouds,80.6,26.1247,127.6694,
536,Bowen,AU,broken clouds,80.6,-20.0167,148.2333,
539,Gemena,CD,broken clouds,76.14,3.25,19.7667,
540,Swan Hill,AU,scattered clouds,84.29,-35.3378,143.5544,
542,Meulaboh,ID,overcast clouds,76.96,4.1363,96.1285,
543,Moerai,PF,few clouds,80.62,-22.4333,-151.3333,
546,Dicabisagan,PH,scattered clouds,85.42,17.0818,122.4157,
550,Dera Bugti,PK,clear sky,88.29,29.0307,69.15100000000001,
552,Adrar,MR,overcast clouds,76.14,20.5022,-10.0711,
558,Torit,SS,broken clouds,82.11,4.4133,32.5678,
569,Sri Aman,MY,scattered clouds,89.6,1.2376,111.4621,
575,Acajutla,SV,scattered clouds,75.99,13.5928,-89.8275,
578,Sawtell,AU,broken clouds,75.2,-30.3833,153.1,
581,Dwarka,IN,clear sky,85.05,22.2394,68.9678,
586,Ambilobe,MG,overcast clouds,81.61,-13.2,49.05,
591,Faanui,PF,overcast clouds,82.9,-16.4833,-151.75,
597,Buluang,PH,overcast clouds,88.84,13.3068,123.3425,
604,Alice Springs,AU,clear sky,87.01,-23.7,133.8833,
607,Save,BJ,scattered clouds,76.55,8.0425,2.4859999999999998,
614,Mildura,AU,clear sky,89.01,-34.2,142.15,
618,Vaitape,PF,overcast clouds,82.89,-16.5167,-151.75,
628,Aquin,HT,clear sky,75.25,18.2833,-73.4,
638,Chapada Dos Guimaraes,BR,clear sky,75.2,-15.4606,-55.7497,
640,Kawalu,ID,overcast clouds,82.35,-7.3817,108.2082,
641,Manggar,ID,moderate rain,83.82,-2.8833,108.2667,
647,Alice Town,BS,broken clouds,77.41,25.7167,-79.3,
648,Poum,NC,overcast clouds,77.72,-20.2333,164.0167,
657,Lishui,CN,overcast clouds,79.68,28.4604,119.9103,
666,Puntian,PH,broken clouds,88.65,7.6089,125.1163,
673,Nara,JP,broken clouds,75.2,34.6851,135.8049,
676,Denpasar,ID,few clouds,87.8,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
