City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
0,Rikitea,-23.1203,-134.9692,78.82,73,100,18.32,PF,2021-04-01 06:16:11,light rain
1,Nouadhibou,20.931,-17.0347,62.6,88,0,14.97,MR,2021-04-01 06:22:29,clear sky
2,Qaanaaq,77.484,-69.3632,-10.01,67,65,8.19,GL,2021-04-01 06:15:14,broken clouds
3,Ushuaia,-54.8,-68.3,39.2,75,0,7.52,AR,2021-04-01 06:19:43,clear sky
4,Kahului,20.8947,-156.47,73.4,88,1,12.66,US,2021-04-01 06:19:09,clear sky
5,Thohoyandou,-22.9456,30.485,72.25,55,9,1.77,ZA,2021-04-01 06:22:30,clear sky
6,Vallenar,-28.5708,-70.7581,59.85,75,10,1.79,CL,2021-04-01 06:20:46,clear sky
7,Busselton,-33.65,115.3333,80.28,49,100,4.63,AU,2021-04-01 06:19:51,overcast clouds
8,Chifeng,42.2683,118.9636,56.55,29,100,4.97,CN,2021-04-01 06:22:30,overcast clouds
9,Cayenne,4.9333,-52.3333,79.0,94,40,8.46,GF,2021-04-01 06:21:45,scattered clouds
10,Geraldton,-28.7667,114.6,98.6,20,0,13.8,AU,2021-04-01 06:20:10,clear sky
11,Upernavik,72.7868,-56.1549,9.27,67,100,8.21,GL,2021-04-01 06:19:50,overcast clouds
12,Joshimath,30.5667,79.5667,63.93,19,0,8.52,IN,2021-04-01 06:20:19,clear sky
13,Mar Del Plata,-38.0023,-57.5575,66.0,100,96,6.31,AR,2021-04-01 06:18:06,overcast clouds
14,Bambous Virieux,-20.3428,57.7575,84.99,83,75,9.22,MU,2021-04-01 06:19:52,broken clouds
15,Vostok,46.4856,135.8833,39.99,65,26,6.49,RU,2021-04-01 06:20:05,scattered clouds
16,Kuito,-12.3833,16.9333,60.8,100,90,6.91,AO,2021-04-01 06:22:31,overcast clouds
17,Kavaratti,10.5669,72.642,83.68,68,50,11.18,IN,2021-04-01 06:22:31,scattered clouds
18,Rincon,32.296,-81.2354,64.4,94,1,10.36,US,2021-04-01 06:20:43,clear sky
19,Alofi,-19.0595,-169.9187,80.6,83,4,9.22,NU,2021-04-01 06:21:05,clear sky
20,Cabo San Lucas,22.8909,-109.9124,73.0,41,100,5.01,MX,2021-04-01 06:16:49,overcast clouds
21,Puerto Penasco,31.3167,-113.5333,71.01,32,20,5.99,MX,2021-04-01 06:19:00,few clouds
22,Port Elizabeth,-33.918,25.5701,64.4,77,0,12.66,ZA,2021-04-01 06:20:13,clear sky
23,Pisco,-13.7,-76.2167,68.0,77,60,4.94,PE,2021-04-01 06:19:52,smoke
24,Penzance,50.1186,-5.5371,50.0,81,0,16.11,GB,2021-04-01 06:22:31,clear sky
25,North Platte,41.1239,-100.7654,21.2,68,1,8.37,US,2021-04-01 06:22:32,clear sky
26,Carnarvon,-24.8667,113.6333,95.0,38,0,18.41,AU,2021-04-01 06:19:52,clear sky
27,New Norfolk,-42.7826,147.0587,77.0,32,99,10.0,AU,2021-04-01 06:19:53,overcast clouds
28,Nanortalik,60.1432,-45.2371,34.14,91,90,11.39,GL,2021-04-01 06:20:28,overcast clouds
29,Atuona,-9.8,-139.0333,80.74,74,79,13.87,PF,2021-04-01 06:16:26,broken clouds
30,Port Alfred,-33.5906,26.891,66.65,78,91,13.42,ZA,2021-04-01 06:16:14,overcast clouds
31,Honiara,-9.4333,159.95,82.71,76,97,2.98,SB,2021-04-01 06:22:32,overcast clouds
32,Hobart,-42.8794,147.3294,77.0,25,100,14.97,AU,2021-04-01 06:19:50,overcast clouds
33,Kontagora,10.3999,5.4695,76.1,15,69,7.47,NG,2021-04-01 06:22:32,broken clouds
34,Jawhar,2.7809,45.5005,86.65,50,88,9.69,SO,2021-04-01 06:22:33,overcast clouds
35,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,20,20.71,CA,2021-04-01 06:16:33,snow
36,Mataura,-46.1927,168.8643,55.99,79,100,1.99,NZ,2021-04-01 06:16:36,overcast clouds
37,Narsaq,60.9167,-46.05,32.0,69,75,1.14,GL,2021-04-01 06:21:59,snow
38,Shima,24.4478,117.8111,84.2,65,20,8.95,CN,2021-04-01 06:22:33,few clouds
39,Goalpara,26.1667,90.6167,88.93,41,0,5.75,IN,2021-04-01 06:22:33,clear sky
40,Bredasdorp,-34.5322,20.0403,60.8,77,99,3.44,ZA,2021-04-01 06:19:50,overcast clouds
41,Muros,42.7762,-9.0603,60.01,85,100,8.68,ES,2021-04-01 06:20:32,light rain
42,Shu,43.5983,73.7614,37.0,90,100,4.0,KZ,2021-04-01 06:22:34,moderate rain
43,Leningradskiy,69.3833,178.4167,-4.38,94,100,3.71,RU,2021-04-01 06:19:54,overcast clouds
44,Vaini,-21.2,-175.2,80.6,83,75,5.75,TO,2021-04-01 06:16:27,broken clouds
45,Punta Arenas,-53.15,-70.9167,44.6,87,0,3.44,CL,2021-04-01 06:19:47,clear sky
46,Albany,42.6001,-73.9662,42.01,71,100,7.0,US,2021-04-01 06:15:12,light rain
47,Talnakh,69.4865,88.3972,-5.17,82,12,7.14,RU,2021-04-01 06:19:44,few clouds
48,Kochevo,59.5994,54.3125,32.95,92,100,6.82,RU,2021-04-01 06:22:34,overcast clouds
49,Vila Franca Do Campo,37.7167,-25.4333,57.2,88,40,4.61,PT,2021-04-01 06:22:34,scattered clouds
50,Hilo,19.7297,-155.09,66.99,81,90,3.56,US,2021-04-01 06:19:46,moderate rain
51,Botshabelo,-29.2702,26.7052,62.6,72,75,10.36,ZA,2021-04-01 06:22:35,light rain
52,Gola Bazar,26.3431,83.3553,86.0,23,1,5.75,IN,2021-04-01 06:22:35,clear sky
53,Avarua,-21.2078,-159.775,78.8,73,12,5.75,CK,2021-04-01 06:19:47,few clouds
54,Ugoofaaru,5.6667,73.0,84.61,73,68,13.91,MV,2021-04-01 06:22:35,broken clouds
55,Namibe,-15.1961,12.1522,71.6,88,40,3.58,AO,2021-04-01 06:20:35,scattered clouds
56,Torbay,47.6666,-52.7314,26.01,80,1,11.5,CA,2021-04-01 06:20:16,clear sky
57,Kukmor,56.1855,50.8944,34.09,98,100,16.46,RU,2021-04-01 06:22:36,snow
58,Vila,42.0304,-8.1588,55.0,89,100,1.01,PT,2021-04-01 06:22:36,light rain
59,Port Hardy,50.6996,-127.4199,44.6,75,75,11.5,CA,2021-04-01 06:15:17,broken clouds
60,Hermanus,-34.4187,19.2345,59.0,94,91,7.2,ZA,2021-04-01 06:16:24,overcast clouds
61,Severo-Kurilsk,50.6789,156.125,37.26,98,100,22.82,RU,2021-04-01 06:20:05,light rain
62,Kaitangata,-46.2817,169.8464,60.01,72,83,1.99,NZ,2021-04-01 06:20:17,broken clouds
63,Waslala,13.2333,-85.3833,68.45,97,12,3.44,NI,2021-04-01 06:22:36,few clouds
64,Baillif,16.0202,-61.7463,75.2,78,20,11.5,GP,2021-04-01 06:22:37,few clouds
65,Tasiilaq,65.6145,-37.6368,26.6,54,40,4.61,GL,2021-04-01 06:20:20,scattered clouds
66,Mahebourg,-20.4081,57.7,82.4,83,75,9.22,MU,2021-04-01 06:20:16,broken clouds
67,Prokudskoye,55.0089,82.4574,26.6,59,0,11.18,RU,2021-04-01 06:22:37,clear sky
68,Macamic,48.7502,-78.9996,12.2,67,75,8.05,CA,2021-04-01 06:22:37,broken clouds
69,Cape Town,-33.9258,18.4232,64.99,72,20,14.97,ZA,2021-04-01 06:19:49,few clouds
70,Lakes Entrance,-37.8811,147.981,77.0,52,66,5.01,AU,2021-04-01 06:21:51,broken clouds
71,Ponta Delgada,37.7333,-25.6667,57.2,88,40,4.61,PT,2021-04-01 06:22:38,scattered clouds
72,Manuk Mangkaw,4.8,119.85,83.91,69,100,17.54,PH,2021-04-01 06:22:38,overcast clouds
73,Zhoucheng,35.9122,116.3117,56.8,39,100,1.68,CN,2021-04-01 06:22:38,overcast clouds
74,Khatanga,71.9667,102.5,-15.74,89,19,2.13,RU,2021-04-01 06:20:06,few clouds
75,Chokurdakh,70.6333,147.9167,6.08,90,64,6.35,RU,2021-04-01 06:20:29,broken clouds
76,Thinadhoo,0.5333,72.9333,83.77,78,100,20.09,MV,2021-04-01 06:19:06,moderate rain
77,Teya,60.3778,92.6267,18.09,67,75,6.42,RU,2021-04-01 06:22:38,broken clouds
78,Samarai,-10.6167,150.6667,85.05,70,71,12.71,PG,2021-04-01 06:20:00,broken clouds
79,San Felipe,10.3399,-68.7425,72.12,96,100,5.14,VE,2021-04-01 06:22:38,overcast clouds
80,Lebu,-37.6167,-73.65,56.08,90,51,13.06,CL,2021-04-01 06:19:42,broken clouds
81,Yar-Sale,66.8333,70.8333,15.22,94,100,19.22,RU,2021-04-01 06:20:36,snow
82,Bluff,-46.6,168.3333,55.99,79,100,1.99,NZ,2021-04-01 06:19:57,overcast clouds
83,Vila Velha,-20.3297,-40.2925,69.8,94,90,2.3,BR,2021-04-01 06:16:59,overcast clouds
84,Provideniya,64.3833,-173.3,8.6,66,0,2.24,RU,2021-04-01 06:17:56,clear sky
85,Yellowknife,62.456,-114.3525,12.2,73,75,13.8,CA,2021-04-01 06:16:48,broken clouds
86,Coahuayana,18.7333,-103.6833,71.51,51,77,2.91,MX,2021-04-01 06:22:39,broken clouds
87,Atambua,-9.1061,124.8925,76.51,87,100,1.95,ID,2021-04-01 06:21:34,overcast clouds
88,Esperance,-33.8667,121.9,80.6,54,32,10.36,AU,2021-04-01 06:20:30,scattered clouds
89,Saint Anthony,45.0205,-93.218,26.01,46,1,4.61,US,2021-04-01 06:22:39,clear sky
90,San Patricio,28.017,-97.5169,69.8,52,90,23.02,US,2021-04-01 06:18:44,overcast clouds
91,Caravelas,-17.7125,-39.2481,74.21,95,82,5.61,BR,2021-04-01 06:20:00,broken clouds
92,Lardos,36.0942,28.0157,55.0,81,40,4.92,GR,2021-04-01 06:22:39,scattered clouds
93,Jamestown,42.097,-79.2353,36.0,80,90,6.91,US,2021-04-01 06:15:27,mist
94,Bulgan,48.8125,103.5347,38.68,43,100,8.39,MN,2021-04-01 06:22:40,overcast clouds
95,Smidovich,48.6,133.8167,52.14,40,57,11.01,RU,2021-04-01 06:22:40,broken clouds
96,Codrington,-38.2667,141.9667,75.78,40,89,13.13,AU,2021-04-01 06:21:42,overcast clouds
97,Puerto Ayora,-0.7393,-90.3518,73.99,95,16,2.75,EC,2021-04-01 06:20:02,few clouds
98,Hasaki,35.7333,140.8333,68.0,59,20,11.5,JP,2021-04-01 06:22:40,few clouds
99,Inhambane,-23.865,35.3833,73.4,78,20,5.5,MZ,2021-04-01 06:20:14,few clouds
100,Ndele,8.4109,20.6473,80.33,23,35,2.62,CF,2021-04-01 06:22:41,scattered clouds
101,Fort Nelson,58.8053,-122.7002,37.4,44,90,4.61,CA,2021-04-01 06:15:16,overcast clouds
102,Novelda,38.3848,-0.7677,55.99,67,95,6.42,ES,2021-04-01 06:22:41,overcast clouds
103,Kemi,65.8596,24.8228,33.8,69,0,11.5,FI,2021-04-01 06:22:41,clear sky
104,Anadyr,64.75,177.4833,6.8,78,20,8.95,RU,2021-04-01 06:22:41,snow
105,Tuatapere,-46.1333,167.6833,55.0,79,100,3.0,NZ,2021-04-01 06:20:48,overcast clouds
106,Salalah,17.0151,54.0924,91.4,29,0,3.44,OM,2021-04-01 06:22:09,clear sky
107,Isangel,-19.55,169.2667,80.6,83,90,11.07,VU,2021-04-01 06:22:42,overcast clouds
108,Kyakhta,50.3508,106.4494,41.25,28,97,14.54,RU,2021-04-01 06:22:42,overcast clouds
109,Oistins,13.0667,-59.5333,77.0,65,40,21.85,BB,2021-04-01 06:19:48,scattered clouds
110,Mount Gambier,-37.8333,140.7667,86.0,19,72,17.27,AU,2021-04-01 06:19:53,broken clouds
111,San Quintin,30.4833,-115.95,63.0,53,12,2.57,MX,2021-04-01 06:20:07,few clouds
112,Chernyshevskiy,63.0128,112.4714,8.1,77,96,10.29,RU,2021-04-01 06:22:42,overcast clouds
113,Namwala,-15.7504,26.4384,63.7,77,12,5.61,ZM,2021-04-01 06:22:43,few clouds
114,Saint George,37.1041,-113.5841,55.99,15,1,3.78,US,2021-04-01 06:21:25,clear sky
115,Ballina,-28.8667,153.5667,71.6,78,90,14.97,AU,2021-04-01 06:22:43,light rain
116,Artvin,41.1667,41.8333,50.0,76,75,3.44,TR,2021-04-01 06:22:43,broken clouds
117,Sarakhs,36.5449,61.1577,60.8,33,79,4.61,IR,2021-04-01 06:22:44,broken clouds
118,Guerrero Negro,27.9769,-114.0611,64.24,56,40,7.61,MX,2021-04-01 06:20:07,scattered clouds
119,Shaunavon,49.6501,-108.4181,32.0,55,3,8.05,CA,2021-04-01 06:18:34,clear sky
120,Kuytun,54.3419,101.5036,27.52,66,87,11.07,RU,2021-04-01 06:22:44,overcast clouds
121,Pasni,25.2631,63.471,88.75,22,0,20.49,PK,2021-04-01 06:22:44,clear sky
122,Kapaa,22.0752,-159.319,73.4,78,75,20.71,US,2021-04-01 06:19:48,light rain
123,Roma,43.2128,-75.4557,39.2,87,75,10.36,US,2021-04-01 06:22:10,broken clouds
124,Alice,27.7523,-98.0697,71.6,48,90,19.57,US,2021-04-01 06:22:45,overcast clouds
125,Fairbanks,64.8378,-147.7164,17.6,79,90,17.27,US,2021-04-01 06:21:00,light snow
126,Doume,4.2333,13.45,69.55,80,99,3.51,CM,2021-04-01 06:22:45,overcast clouds
127,Tigil,57.8,158.6667,32.02,99,100,7.07,RU,2021-04-01 06:22:45,light snow
128,Nikolskoye,59.7035,30.7861,39.0,87,0,11.18,RU,2021-04-01 06:19:47,clear sky
129,Necochea,-38.5473,-58.7368,52.0,94,98,1.99,AR,2021-04-01 06:22:45,overcast clouds
130,Broome,42.2506,-75.833,39.99,93,90,10.36,US,2021-04-01 06:21:04,overcast clouds
131,Coihaique,-45.5752,-72.0662,53.6,71,90,4.61,CL,2021-04-01 06:21:46,overcast clouds
132,Kamaishi,39.2667,141.8833,60.8,36,20,9.22,JP,2021-04-01 06:22:45,few clouds
133,Hofn,64.2539,-15.2082,42.42,65,3,10.0,IS,2021-04-01 06:20:36,clear sky
134,San Vicente De Chucuri,6.881,-73.4098,70.66,89,99,3.76,CO,2021-04-01 06:22:46,overcast clouds
135,Howard Springs,-12.497,131.047,84.2,61,100,4.61,AU,2021-04-01 06:22:46,overcast clouds
136,Marsh Harbour,26.5412,-77.0636,75.25,79,80,10.11,BS,2021-04-01 06:20:46,broken clouds
137,Afareaitu,-17.55,-149.7833,82.4,74,40,5.75,PF,2021-04-01 06:22:46,scattered clouds
138,Comodoro Rivadavia,-45.8667,-67.5,53.6,94,75,3.44,AR,2021-04-01 06:18:31,drizzle
139,Altay,47.8667,88.1167,34.09,51,86,3.87,CN,2021-04-01 06:22:47,overcast clouds
140,Clyde River,70.4692,-68.5914,-11.2,70,75,17.27,CA,2021-04-01 06:17:40,light snow
141,Katsuura,35.1333,140.3,70.0,63,40,5.75,JP,2021-04-01 06:17:02,scattered clouds
142,Los Llanos De Aridane,28.6585,-17.9182,62.6,63,0,4.61,ES,2021-04-01 06:19:58,clear sky
143,Monrovia,6.3005,-10.7969,75.2,94,42,1.34,LR,2021-04-01 06:22:47,mist
144,Chuy,-33.6971,-53.4616,63.79,73,98,6.46,UY,2021-04-01 06:20:06,overcast clouds
145,Ostrovnoy,68.0531,39.5131,31.96,98,100,13.2,RU,2021-04-01 06:21:09,light snow
146,Mersing,2.4312,103.8405,89.6,70,40,5.75,MY,2021-04-01 06:22:47,scattered clouds
147,Mantua,45.1667,10.7833,52.0,76,4,1.14,IT,2021-04-01 06:21:31,clear sky
148,Srandakan,-7.9386,110.2506,84.07,75,83,7.65,ID,2021-04-01 06:22:48,broken clouds
149,Yangjiang,21.85,111.9667,88.0,54,11,14.12,CN,2021-04-01 06:22:48,few clouds
150,Mount Isa,-20.7333,139.5,91.4,21,0,17.27,AU,2021-04-01 06:22:48,light rain
151,Manoel Urbano,-8.8389,-69.2597,72.36,98,100,1.48,BR,2021-04-01 06:22:49,overcast clouds
152,Brandfort,-28.7001,26.4597,62.6,72,75,10.36,ZA,2021-04-01 06:22:49,light rain
153,Airai,-8.9266,125.4092,63.93,92,100,1.61,TL,2021-04-01 06:20:59,overcast clouds
154,Iqaluit,63.7506,-68.5145,-7.01,77,75,33.38,CA,2021-04-01 06:17:48,snow
155,Ponta Do Sol,32.6667,-17.1,59.0,76,24,1.99,PT,2021-04-01 06:20:26,few clouds
156,Marzuq,14.4,46.4667,80.46,10,35,2.13,YE,2021-04-01 06:22:49,scattered clouds
157,Acapulco,16.8634,-99.8901,79.39,60,34,3.74,MX,2021-04-01 06:22:50,scattered clouds
158,East London,-33.0153,27.9116,66.2,82,20,6.91,ZA,2021-04-01 06:20:14,few clouds
159,Beloha,-25.1667,45.05,76.98,58,0,12.97,MG,2021-04-01 06:22:50,clear sky
160,Saint-Philippe,-21.3585,55.7679,78.8,73,75,10.36,RE,2021-04-01 06:19:56,light rain
161,Pevek,69.7008,170.3133,-1.68,89,100,3.51,RU,2021-04-01 06:16:40,overcast clouds
162,Lewistown,40.5992,-77.5714,41.0,100,90,11.5,US,2021-04-01 06:22:50,moderate rain
163,Azul,-36.777,-59.8585,52.0,91,86,6.22,AR,2021-04-01 06:22:50,overcast clouds
164,Barrow,71.2906,-156.7887,-7.6,64,1,16.11,US,2021-04-01 06:15:54,clear sky
165,Nageshwari,25.9377,89.7148,86.94,50,10,6.11,BD,2021-04-01 06:22:51,clear sky
166,Thompson,55.7435,-97.8558,19.4,63,75,4.61,CA,2021-04-01 06:20:37,broken clouds
167,Ancud,-41.8697,-73.8203,52.0,100,90,5.75,CL,2021-04-01 06:20:55,fog
168,Gamba,-2.65,10.0,73.47,90,100,6.67,GA,2021-04-01 06:22:51,overcast clouds
169,Whitianga,-36.8333,175.7,63.0,95,97,3.0,NZ,2021-04-01 06:22:51,moderate rain
170,Castro,-24.7911,-50.0119,49.24,82,2,2.39,BR,2021-04-01 06:19:49,clear sky
171,Aksarka,66.5606,67.7975,21.76,94,100,9.78,RU,2021-04-01 06:22:51,light snow
172,Progreso,21.2833,-89.6667,79.0,69,20,8.05,MX,2021-04-01 06:22:52,few clouds
173,Saldanha,-33.0117,17.9442,57.2,88,49,6.91,ZA,2021-04-01 06:16:38,scattered clouds
174,Mezen,65.8522,44.24,31.73,91,100,3.02,RU,2021-04-01 06:18:41,overcast clouds
175,Wad Madani,14.4012,33.5199,83.48,9,40,14.94,SD,2021-04-01 06:22:52,scattered clouds
176,Karratha,-20.7377,116.8463,95.61,25,3,14.41,AU,2021-04-01 06:19:57,clear sky
177,Bratsk,56.1325,101.6142,23.0,46,75,13.42,RU,2021-04-01 06:22:52,broken clouds
178,Cabedelo,-6.9811,-34.8339,75.2,100,20,3.44,BR,2021-04-01 06:22:52,few clouds
179,Chapais,49.7834,-74.8492,8.6,78,90,10.36,CA,2021-04-01 06:20:42,overcast clouds
180,Krasnoselkup,65.7,82.4667,7.77,74,13,15.88,RU,2021-04-01 06:21:07,few clouds
181,Bethel,41.3712,-73.414,54.0,82,90,10.36,US,2021-04-01 06:16:08,light rain
182,Qui Nhon,13.7667,109.2333,84.06,71,52,17.9,VN,2021-04-01 06:22:53,broken clouds
183,Axim,4.8699,-2.2405,78.39,88,15,6.22,GH,2021-04-01 06:20:40,few clouds
184,Camacupa,-12.0167,17.4833,61.48,96,96,2.24,AO,2021-04-01 06:19:53,overcast clouds
185,Arraial Do Cabo,-22.9661,-42.0278,74.26,74,18,19.24,BR,2021-04-01 06:19:51,few clouds
186,Semporna,4.4818,118.6112,87.8,74,40,6.91,MY,2021-04-01 06:22:53,scattered clouds
187,Klaksvik,62.2266,-6.589,42.8,81,75,18.41,FO,2021-04-01 06:20:03,broken clouds
188,Vrangel,42.7297,133.0839,45.39,63,0,8.32,RU,2021-04-01 06:22:53,clear sky
189,Faya,18.3851,42.4509,73.4,21,0,13.8,SA,2021-04-01 06:21:21,clear sky
190,Lengshuijiang,27.6881,111.4294,58.33,89,100,3.6,CN,2021-04-01 06:22:53,overcast clouds
191,Chimbote,-9.0853,-78.5783,67.87,90,16,5.95,PE,2021-04-01 06:22:54,few clouds
192,Hobyo,5.3505,48.5268,83.37,63,73,6.33,SO,2021-04-01 06:20:02,broken clouds
193,Henties Bay,-22.116,14.2845,69.28,76,72,6.31,NA,2021-04-01 06:20:52,broken clouds
194,Ribeira Grande,38.5167,-28.7,59.0,77,75,9.22,PT,2021-04-01 06:20:22,broken clouds
195,Kloulklubed,7.0419,134.2556,78.8,100,90,4.61,PW,2021-04-01 06:21:35,overcast clouds
196,Moron,-34.6534,-58.6198,66.99,91,4,4.23,AR,2021-04-01 06:22:54,clear sky
197,Luderitz,-26.6481,15.1594,69.19,56,0,10.29,NA,2021-04-01 06:20:25,clear sky
198,Mana,5.6592,-53.7767,75.45,88,74,9.26,GF,2021-04-01 06:22:54,broken clouds
199,Grindavik,63.8424,-22.4338,41.0,87,90,20.71,IS,2021-04-01 06:20:13,overcast clouds
200,Price,39.5994,-110.8107,30.2,40,1,9.22,US,2021-04-01 06:22:54,clear sky
201,Hambantota,6.1241,81.1185,89.6,70,20,14.97,LK,2021-04-01 06:19:51,few clouds
202,Pemba,-12.974,40.5178,78.8,78,40,11.5,MZ,2021-04-01 06:18:25,scattered clouds
203,Freeport,40.6576,-73.5832,57.2,94,90,6.91,US,2021-04-01 06:19:30,overcast clouds
204,Naze,28.3667,129.4833,69.8,94,75,19.57,JP,2021-04-01 06:16:53,heavy intensity rain
205,Lebedinyy,58.5167,125.5167,26.78,67,100,9.31,RU,2021-04-01 06:22:55,overcast clouds
206,Sao Filipe,14.8961,-24.4956,71.17,73,22,12.3,CV,2021-04-01 06:20:18,few clouds
207,Namatanai,-3.6667,152.4333,84.27,68,33,5.91,PG,2021-04-01 06:22:55,scattered clouds
208,Dikson,73.5069,80.5464,-2.69,67,100,8.79,RU,2021-04-01 06:19:43,overcast clouds
209,Belmonte,-15.8631,-38.8828,78.8,89,20,8.05,BR,2021-04-01 06:21:59,few clouds
210,Tallahassee,30.4383,-84.2807,66.2,94,90,9.22,US,2021-04-01 06:22:19,overcast clouds
211,Dunedin,-45.8742,170.5036,57.0,76,66,3.0,NZ,2021-04-01 06:22:55,broken clouds
212,Kuntaur,13.6667,-14.8833,74.12,35,0,7.4,GM,2021-04-01 06:22:55,clear sky
213,Torbat-E Jam,35.244,60.6225,53.53,32,61,3.2,IR,2021-04-01 06:22:56,broken clouds
214,Itarema,-2.9248,-39.9167,76.59,91,100,8.75,BR,2021-04-01 06:22:56,overcast clouds
215,Vardo,70.3705,31.1107,33.57,90,96,15.23,NO,2021-04-01 06:21:11,overcast clouds
216,Srednekolymsk,67.45,153.6833,11.64,82,69,7.34,RU,2021-04-01 06:20:16,broken clouds
217,Paamiut,61.994,-49.6678,36.0,76,100,27.34,GL,2021-04-01 06:21:31,overcast clouds
218,Kodiak,57.79,-152.4072,28.4,50,20,21.85,US,2021-04-01 06:18:46,few clouds
219,Vanavara,60.34,102.2797,13.84,68,86,7.96,RU,2021-04-01 06:22:56,overcast clouds
220,Farnham,51.2143,-0.7959,48.0,87,40,8.05,GB,2021-04-01 06:22:56,haze
221,Dingle,10.9995,122.6711,86.63,60,100,16.44,PH,2021-04-01 06:19:52,overcast clouds
222,Victoria,22.2855,114.1577,84.2,61,40,11.5,HK,2021-04-01 06:19:03,scattered clouds
223,Husavik,66.0449,-17.3389,44.6,57,90,11.5,IS,2021-04-01 06:21:48,overcast clouds
224,Asau,46.4333,26.4,50.0,45,92,1.83,RO,2021-04-01 06:22:57,overcast clouds
225,Acevedo,1.8361,-75.855,61.5,97,99,1.36,CO,2021-04-01 06:22:57,overcast clouds
226,Pangnirtung,66.1451,-65.7125,4.98,98,100,2.55,CA,2021-04-01 06:17:33,light snow
